Tempo_s,DeltaP_Pa,Temperatura_C
0,1200.0,25
1,1201.5,25
2,1203.0,25
3,1204.5,26
4,1206.0,26
5,1207.5,26
6,1209.0,27
7,1210.5,27
8,1212.0,27
9,1213.5,28
10,1342.0,28
11,1335.0,28
12,1328.0,28
13,1321.0,28
14,1314.0,28
15,1307.0,28
16,1300.0,28
17,1293.0,28
18,1286.0,28
19,1279.0,28
20,1272.0,28
21,1265.0,28
22,1258.0,28
23,1251.0,28
24,1244.0,28
25,1237.0,28
26,1230.0,28
27,1223.0,28
28,1216.0,28
29,1209.0,28
30,1202.0,28
31,1195.0,28
32,1188.0,28
33,1181.0,28
34,1174.0,28
35,1167.0,28
36,1160.0,28
37,1153.0,28
38,1146.0,28
39,1139.0,28
40,1132.0,28
41,1125.0,28
42,1118.0,28
43,1111.0,28
44,1104.0,28
45,1097.0,28
46,1090.0,28
47,1083.0,28
48,1076.0,28
49,1069.0,28
50,1062.0,28
51,1055.0,28
52,1048.0,28
53,1041.0,28
54,1034.0,28
55,1027.0,28
56,1020.0,28
57,1013.0,28
58,1006.0,28
59,999.0,28
60,992.0,28
61,985.0,28
62,978.0,28
63,971.0,28
64,964.0,28
65,957.0,28
66,950.0,28
67,943.0,28
68,936.0,28
69,929.0,28
70,922.0,28
71,915.0,28
72,908.0,28
73,901.0,28
74,894.0,28
75,887.0,28
76,880.0,28
77,873.0,28
78,866.0,28
79,859.0,28
80,852.0,28
81,845.0,28
82,838.0,28
83,831.0,28
84,824.0,28
85,817.0,28
86,810.0,28
87,803.0,28
88,796.0,28
89,789.0,28
90,782.0,28
91,775.0,28
92,768.0,28
93,761.0,28
94,754.0,28
95,747.0,28
96,740.0,28
97,733.0,28
98,726.0,28
99,719.0,28
100,745.0,28
101,750.75,28
102,756.5,28
103,762.25,28
104,768.0,28
105,773.75,28
106,779.5,28
107,785.25,28
108,791.0,28
109,796.75,28
110,802.5,28
111,808.25,28
112,814.0,28
113,819.75,28
114,825.5,28
115,831.25,28
116,837.0,28
117,842.75,28
118,848.5,28
119,854.25,28
120,860.0,28
121,865.75,28
122,871.5,28
123,877.25,28
124,883.0,28
125,888.75,28
126,894.5,28
127,900.25,28
128,906.0,28
129,911.75,28
130,917.5,28
131,923.25,28
132,929.0,28
133,934.75,28
134,940.5,28
135,946.25,28
136,952.0,28
137,957.75,28
138,963.5,28
139,969.25,28
140,975.0,28
141,980.75,28
142,986.5,28
143,992.25,28
144,998.0,28
145,1003.75,28
146,1009.5,28
147,1015.25,28
148,1021.0,28
149,1026.75,28
150,1032.5,28
151,1038.25,28
152,1044.0,28
153,1049.75,28
154,1055.5,28
155,1061.25,28
156,1067.0,28
157,1072.75,28
158,1078.5,28
159,1084.25,28
160,1090.0,28
161,1095.75,28
162,1101.5,28
163,1107.25,28
164,1113.0,28
165,1118.75,28
166,1124.5,28
167,1130.25,28
168,1136.0,28
169,1141.75,28
170,1147.5,28
171,1153.25,28
172,1159.0,28
173,1164.75,28
174,1170.5,28
175,1176.25,28
176,1182.0,28
177,1187.75,28
178,1193.5,28
179,1199.25,28
180,1205.0,28
181,1210.75,28
182,1216.5,28
183,1222.25,28
184,1228.0,28
185,1233.75,28
186,1239.5,28
187,1245.25,28
188,1251.0,28
189,1256.75,28
190,1262.5,28
191,1268.25,28
192,1274.0,28
193,1279.75,28
194,1285.5,28
195,1291.25,28
196,1297.0,28
197,1302.75,28
198,1308.5,28
199,1314.25,28
200,1320.0,28
201,1325.75,28
202,1331.5,28
203,1337.25,28
204,1343.0,28
205,1348.75,28
206,1354.5,28
207,1360.25,28
208,1366.0,28
209,1371.75,28
210,1377.5,28
211,1383.25,28
212,1389.0,28
213,1394.75,28
214,1400.5,28
215,1406.25,28
216,1412.0,28
217,1417.75,28
218,1423.5,28
219,1429.25,28
220,1435.0,28
221,1440.75,28
222,1446.5,28
223,1452.25,28
224,1458.0,28
225,1463.75,28
226,1469.5,28
227,1475.25,28
228,1481.0,28
229,1486.75,28
230,1492.5,28
231,1498.25,28
232,1504.0,28
233,1509.75,28
234,1515.5,28
235,1521.25,28
236,1527.0,28
237,1532.75,28
238,1538.5,28
239,1544.25,28
240,1550.0,28
241,1555.75,28
242,1561.5,28
243,1567.25,28
244,1573.0,28
245,1578.75,28
246,1584.5,28
247,1590.25,28
248,1596.0,28
249,1601.75,28
250,1607.5,28
251,1613.25,28
252,1619.0,28
253,1624.75,28
254,1630.5,28
255,1636.25,28
256,1642.0,28
257,1647.75,28
258,1653.5,28
259,1659.25,28
260,1665.0,28
261,1670.75,28
262,1676.5,28
263,1682.25,28
264,1688.0,28
265,1693.75,28
266,1699.5,28
267,1705.25,28
268,1711.0,28
269,1716.75,28
270,1722.5,28
271,1728.25,28
272,1734.0,28
273,1739.75,28
274,1745.5,28
275,1751.25,28
276,1757.0,28
277,1762.75,28
278,1768.5,28
279,1774.25,28
280,1780.0,28
281,1785.75,28
282,1791.5,28
283,1797.25,28
284,1803.0,28
285,1808.75,28
286,1814.5,28
287,1820.25,28
288,1826.0,28
289,1831.75,28
290,1837.5,28
291,1843.25,28
292,1849.0,28
293,1854.75,28
294,1860.5,28
295,1866.25,28
296,1872.0,28
297,1877.75,28
298,1883.5,28
299,1889.25,28
300,1895.0,28
301,1900.75,28
302,1906.5,28
303,1912.25,28
304,1918.0,28
305,1923.75,28
306,1929.5,28
307,1935.25,28
308,1941.0,28
309,1946.75,28
310,1952.5,28
311,1958.25,28
312,1964.0,28
313,1969.75,28
314,1975.5,28
315,1981.25,28
316,1987.0,28
317,1992.75,28
318,1998.5,28
319,2004.25,28
320,2010.0,28
321,2015.75,28
322,2021.5,28
323,2027.25,28
324,2033.0,28
325,2038.75,28
326,2044.5,28
327,2050.25,28
328,2056.0,28
329,2061.75,28
330,2067.5,28
331,2073.25,28
332,2079.0,28
333,2084.75,28
334,2090.5,28
335,2096.25,28
336,2102.0,28
337,2107.75,28
338,2113.5,28
339,2119.25,28
340,2125.0,28
341,2130.75,28
342,2136.5,28
343,2142.25,28
344,2148.0,28
345,2153.75,28
346,2159.5,28
347,2165.25,28
348,2171.0,28
349,2176.75,28
350,2182.5,28
351,2188.25,28
352,2194.0,28
353,2199.75,28
354,2205.5,28
355,2211.25,28
356,2217.0,28
357,2222.75,28
358,2228.5,28
359,2234.25,28
360,2240.0,28
361,2245.75,28
362,2251.5,28
363,2257.25,28
364,2263.0,28
365,2268.75,28
366,2274.5,28
367,2280.25,28
368,2286.0,28
369,2291.75,28
370,2297.5,28
371,2303.25,28
372,2309.0,28
373,2314.75,28
374,2320.5,28
375,2326.25,28
376,2332.0,28
377,2337.75,28
378,2343.5,28
379,2349.25,28
380,2355.0,28
381,2360.75,28
382,2366.5,28
383,2372.25,28
384,2378.0,28
385,2383.75,28
386,2389.5,28
387,2395.25,28
388,2401.0,28
389,2406.75,28
390,2412.5,28
391,2418.25,28
392,2424.0,28
393,2429.75,28
394,2435.5,28
395,2441.25,28
396,2447.0,28
397,2452.75,28
398,2458.5,28
399,2464.25,28
400,2470.0,28
401,2475.75,28
402,2481.5,28
403,2487.25,28
404,2493.0,28
405,2498.75,28
406,2504.5,28
407,2510.25,28
408,2516.0,28
409,2521.75,28
410,2527.5,28
411,2533.25,28
412,2539.0,28
413,2544.75,28
414,2550.5,28
415,2556.25,28
416,2562.0,28
417,2567.75,28
418,2573.5,28
419,2579.25,28
420,2585.0,28
421,2590.75,28
422,2596.5,28
423,2602.25,28
424,2608.0,28
425,2613.75,28
426,2619.5,28
427,2625.25,28
428,2631.0,28
429,2636.75,28
430,2642.5,28
431,2648.25,28
432,2654.0,28
433,2659.75,28
434,2665.5,28
435,2671.25,28
436,2677.0,28
437,2682.75,28
438,2688.5,28
439,2694.25,28
440,2700.0,28
441,2705.75,28
442,2711.5,28
443,2717.25,28
444,2723.0,28
445,2728.75,28
446,2734.5,28
447,2740.25,28
448,2746.0,28
449,2751.75,28
450,2757.5,28
451,2763.25,28
452,2769.0,28
453,2774.75,28
454,2780.5,28
455,2786.25,28
456,2792.0,28
457,2797.75,28
458,2803.5,28
459,2809.25,28
460,2815.0,28
461,2820.75,28
462,2826.5,28
463,2832.25,28
464,2838.0,28
465,2843.75,28
466,2849.5,28
467,2855.25,28
468,2861.0,28
469,2866.75,28
470,2872.5,28
471,2878.25,28
472,2884.0,28
473,2889.75,28
474,2895.5,28
475,2901.25,28
476,2907.0,28
477,2912.75,28
478,2918.5,28
479,2924.25,28
480,2930.0,28
481,2935.75,28
482,2941.5,28
483,2947.25,28
484,2953.0,28
485,2958.75,28
486,2964.5,28
487,2970.25,28
488,2976.0,28
489,2981.75,28
490,2987.5,28
491,2993.25,28
492,2999.0,28
493,3004.75,28
494,3010.5,28
495,3016.25,28
496,3022.0,28
497,3027.75,28
498,3033.5,28
499,3039.25,28
500,3045.0,28
501,3050.75,28
502,3056.5,28
503,3062.25,28
504,3068.0,28
505,3073.75,28
506,3079.5,28
507,3085.25,28
508,3091.0,28
509,3096.75,28
510,3102.5,28
511,3108.25,28
512,3114.0,28
513,3119.75,28
514,3125.5,28
515,3131.25,28
516,3137.0,28
517,3142.75,28
518,3148.5,28
519,3154.25,28
520,3160.0,28
521,3165.75,28
522,3171.5,28
523,3177.25,28
524,3183.0,28
525,3188.75,28
526,3194.5,28
527,3200.25,28
528,3206.0,28
529,3211.75,28
530,3217.5,28
531,3223.25,28
532,3229.0,28
533,3234.75,28
534,3240.5,28
535,3246.25,28
536,3252.0,28
537,3257.75,28
538,3263.5,28
539,3269.25,28
540,3275.0,28
541,3280.75,28
542,3286.5,28
543,3292.25,28
544,3298.0,28
545,3303.75,28
546,3309.5,28
547,3315.25,28
548,3321.0,28
549,3326.75,28
550,3332.5,28
551,3338.25,28
552,3344.0,28
553,3349.75,28
554,3355.5,28
555,3361.25,28
556,3367.0,28
557,3372.75,28
558,3378.5,28
559,3384.25,28
560,3390.0,28
561,3395.75,28
562,3401.5,28
563,3407.25,28
564,3413.0,28
565,3418.75,28
566,3424.5,28
567,3430.25,28
568,3436.0,28
569,3441.75,28
570,3447.5,28
571,3453.25,28
572,3459.0,28
573,3464.75,28
574,3470.5,28
575,3476.25,28
576,3482.0,28
577,3487.75,28
578,3493.5,28
579,3499.25,28
580,3505.0,28
581,3510.75,28
582,3516.5,28
583,3522.25,28
584,3528.0,28
585,3533.75,28
586,3539.5,28
587,3545.25,28
588,3551.0,28
589,3556.75,28
590,3562.5,28
591,3568.25,28
592,3574.0,28
593,3579.75,28
594,3585.5,28
595,3591.25,28
596,3597.0,28
597,3602.75,28
598,3608.5,28
599,3614.25,28
