tempo_s,T_processo_C,T_medida_C,u,T_filtrada_C
0.0,25.0,0.0,0.0,0.0
1.0,31.11111111111111,24.80541727600701,1.0,3.720812591401052
2.0,37.08641975308642,25.334730108925037,1.0,6.962900219029651
3.0,42.92894375857338,26.37230483816169,1.0,9.874310911899457
4.0,48.64163389727175,27.25897745788161,1.0,12.48201089379678
5.0,54.22737536622127,29.01397099447999,1.0,14.96180490889926
6.0,59.68898924697191,30.276366782442437,1.0,17.258989189930737
7.0,65.02923393037253,32.061717287960526,1.0,19.479398404635205
8.0,70.25080650969758,34.11493135200817,1.0,21.674728346741148
9.0,75.35634414281542,36.9297976574363,1.0,23.96298874334542
10.0,80.34842538408618,39.384808117266026,1.0,26.27626164943351
11.0,85.22957148666205,42.331140159181565,1.0,28.68449342589572
12.0,90.00224767584734,45.190935762618054,1.0,31.160459776404068
13.0,94.66886439416184,48.18607004784192,1.0,33.71430131711975
14.0,99.23177851873602,51.03244684623079,1.0,36.3120231464864
15.0,103.693294551653,54.354488055579296,1.0,39.018392882850335
16.0,108.05566578383849,57.644225801415274,1.0,41.81226782063508
17.0,112.32109543308653,61.37639940743288,1.0,44.74688755865475
18.0,116.49173775679571,64.28750235345271,1.0,47.67797977787444
19.0,120.56969913997803,67.95833774522163,1.0,50.720033472976525
20.0,124.55703915908963,71.2759237148583,1.0,53.803417009258794
21.0,128.45577162222096,74.99886286302986,1.0,56.98273388732445
22.0,132.2678655861716,78.52784662178202,1.0,60.21450079749309
23.0,135.99524635092334,82.2640778359941,1.0,63.52193735326824
24.0,139.63979643201392,85.87754018203299,1.0,66.87527777758295
25.0,143.2033565113025,89.18155916472833,1.0,70.22121998565476
26.0,146.68772636660688,93.19550004266247,1.0,73.66736199420592
27.0,150.09466578068228,96.2346843668865,1.0,77.052460350108
28.0,153.42589543000045,100.00665464316994,1.0,80.4955894940673
29.0,156.6830977537782,103.51320247278443,1.0,83.94823144087488
30.0,159.86791780369424,107.23423884124762,1.0,87.44113255093079
31.0,162.98196407472327,110.7931027257496,1.0,90.9439280771536
32.0,166.0268093175072,114.39183912565026,1.0,94.4611147344281
33.0,169.0039913326737,117.43893932435097,1.0,97.90778842291652
34.0,171.91501374750317,121.14722575680662,1.0,101.39370402300004
35.0,174.76134677533642,124.05950034823627,1.0,104.79357347178546
36.0,177.54442795810672,127.82132118218993,1.0,108.24773562834613
37.0,180.265662892371,130.7814465838316,1.0,111.62779227166897
38.0,182.9264259392072,134.3737434576727,1.0,115.03968494956953
39.0,185.52806091833594,137.53416681780308,1.0,118.41385722980458
40.0,188.07188178681736,141.0814614053624,1.0,121.81399785613826
41.0,190.55917330266587,144.00747199756927,1.0,125.14301897735291
42.0,192.99119167371774,146.627687516716,1.0,128.36571925825737
43.0,195.36916519207958,150.094691885366,1.0,131.62506515232366
44.0,197.69429485447782,152.77198692264997,1.0,134.79710341787262
45.0,199.96775496882276,156.1610951550394,1.0,138.00170217844763
46.0,202.19069374729335,159.1131339774678,1.0,141.16841694830066
47.0,204.3642338862424,162.081522031425,1.0,144.30538271076932
48.0,206.4894731332148,164.69695497658526,1.0,147.3641185506417
49.0,208.56748484136557,167.51815753026446,1.0,150.3872243975851
50.0,210.59931851155744,170.1884810035831,1.0,153.3574128884848
51.0,212.58600032241173,172.99563289903796,1.0,156.30314589006778
52.0,214.52853364858035,175.33280444575234,1.0,159.15759467342045
53.0,209.76123290083413,178.38373480802534,0.0,162.0415156936112
54.0,205.0998721697045,180.2884960664611,0.0,164.77856274953868
55.0,200.54209723259996,182.23112667666376,0.0,167.39644733860746
56.0,196.08560618298662,183.0367480255094,0.0,169.74249244164275
57.0,191.72814826780913,184.28555034704127,0.0,171.92395112745254
58.0,187.4675227507467,184.6515403053899,0.0,173.83308950414315
59.0,183.30157780073012,184.91603177200662,0.0,175.49553084432267
60.0,179.22820940515834,184.36850961805476,0.0,176.8264776603825
61.0,175.24536030726594,184.51964838544077,0.0,177.98045326914124
62.0,171.35101896710447,183.78367539355517,0.0,178.85093658780335
63.0,167.54321854561326,183.03918114150133,0.0,179.47917327085804
64.0,163.8200359112663,182.08565064931028,0.0,179.87014487762588
65.0,162.19086227306556,180.67664840535022,0.3016907406407785,179.99112040678455
66.0,165.25328755588632,179.4008513294083,1.0,179.9025800451781
67.0,168.24765894353328,178.31326249168004,1.0,179.6641824121534
68.0,171.17548874478808,177.6702109387497,1.0,179.36508669114284
69.0,174.03825566157056,177.11314167042516,1.0,179.02729493803517
70.0,176.83740553575788,177.07108092794041,1.0,178.73386283652096
71.0,179.5743520794077,176.9893488228502,1.0,178.47218573447034
72.0,182.2504775887542,177.18958127232366,1.0,178.27979506514833
73.0,184.86713364233742,177.40893789013919,1.0,178.14916648889698
74.0,187.4256417836188,178.04538360620037,1.0,178.1335990564925
75.0,189.54322177767682,178.7526657319138,0.9423891383874313,178.2264590578057
76.0,190.4803119422961,179.12929308853165,0.7723742639518144,178.36188416241458
77.0,186.2474161213562,180.27563729937185,0.0,178.64894713295817
78.0,182.10858465199271,180.48622633085634,0.0,178.9245390126429
79.0,178.06172721528176,180.3253092713748,0.0,179.13465455145268
80.0,174.10479994383107,180.55416890065413,0.0,179.3475817038329
81.0,171.1164268900535,180.16835128758808,0.13209337507947,179.4706971413962
82.0,173.98050629249676,179.06702088332875,1.0,179.41014570268607
83.0,176.52751947515242,179.16687650397128,0.9619869983733389,179.37365532287885
84.0,179.2713523757046,179.07320306233598,1.0,179.3285874837974
85.0,180.23507359285605,179.2864140556254,0.7421293571584021,179.32226146957163
86.0,182.8965164019037,178.7747379709863,1.0,179.24013294478382
87.0,178.8321493707503,179.78564036361496,0.0,179.32195905760852
88.0,181.52476827362253,179.21791093091048,1.0,179.3063518386038
89.0,181.64120452557265,179.4099880022595,0.6225479987045918,179.32189726315218
